#,name,batch,date_announced,link,description,type,career_stage,personal_links,personal_info,mr_posts,project_links,,,Categories
141,Youyang Gu,12,2020-12-23,marginalrevolution.com/marginalrevolution/2020/12/emergent-ventureswinners-12th-cohort.html,"Youyang Gu, here are his Covid-19 projections using machine learning.",Non profit,,"linkedin.com/in/youyanggu/ 
twitter.com/youyanggu ","Data Scientist | Covid Modeler | Always looking for the next data challenges

Data Scientist. Creator of covid19-projections.com and yolostocks.live. Presenter of unbiased takes. Realist. ","marginalrevolution.com/marginalrevolution/2021/02/profile-of-youyang-gu.html
marginalrevolution.com/marginalrevolution/2020/12/youyang-gu-will-estimate-vaccination-numbers-and-herd-immunity.html
marginalrevolution.com/marginalrevolution/2021/05/we-will-get-to-herd-immunity-in-2021one-way-or-another-revisited.html
marginalrevolution.com/marginalrevolution/2021/01/we-will-get-to-herd-immunity-in-2021-one-way-or-another.html
marginalrevolution.com/marginalrevolution/2021/02/tuesday-assorted-links-300.html
marginalrevolution.com/marginalrevolution/2021/02/friday-assorted-links-299.html
marginalrevolution.com/marginalrevolution/2020/08/tuesday-assorted-links-274.html
marginalrevolution.com/marginalrevolution/2021/01/first-doses-first-and-herd-immunity.html","covid19-projections.com/
twitter.com/youyanggu",,,
142,Matt Faherty,12,2020-12-23,marginalrevolution.com/marginalrevolution/2020/12/emergent-ventureswinners-12th-cohort.html,"Matt Faherty, to study and write about the NIH.",Research,,-,,-,-,,,
143,Kenny Workman,13,2021-03-08,marginalrevolution.com/marginalrevolution/2021/03/emergent-ventures-winners-cohort.html,"Kenny Workman, building tools for computational biology.",Research,,"linkedin.com/in/kennyworkman 
twitter.com/kenbwork ","I am dedicating my life to making biology easier to engineer.

There’s a very real and unique opportunity to rewrite history over the next few decades. Computing, statistical tooling (what the misguided call “AI”??) and high-throughput + miniaturized assays are providing an opportunity.",-,kennethworkman.com/about/,,,
144,Brianna GoPaul,13,2021-03-08,marginalrevolution.com/marginalrevolution/2021/03/emergent-ventures-winners-cohort.html,"Brianna GoPaul, “17 y/o learning fusion energy.”",Research,,"linkedin.com/in/brianna-gopaul-b7a626150/  
twitter.com/BriannaGopaul  ",building a fusion reactor,-,briannagopaul.com/,,,
145,Justin Glibert,13,2021-03-08,marginalrevolution.com/marginalrevolution/2021/03/emergent-ventures-winners-cohort.html,"Justin Glibert, from Belgium near Liege, nanotechnology and cryptography and space manufacturing.",Research,,"linkedin.com/in/justin-glibert-108272133/ 
twitter.com/JustinGlibert ",,-,glibert.io/,,,
146,Andrew Tate Young,13,2021-03-08,marginalrevolution.com/marginalrevolution/2021/03/emergent-ventures-winners-cohort.html,"Andrew Tate Young, custom audio from blogs, and to create audiobooks from science information in the public domain.",Podcast,,-,,-,narra.info/,,,
147,Rasheed Griffith,13,2021-03-08,marginalrevolution.com/marginalrevolution/2021/03/emergent-ventures-winners-cohort.html,"Rasheed Griffith, Barbados, podcast on China in the Caribbean, and Substack on the same.",Podcast,,"twitter.com/rasheedguo 
linkedin.com/in/rasheed-griffith-74b501206/ ",,"marginalrevolution.com/marginalrevolution/2021/02/my-caribbean-podcast-with-the-excellent-rasheed-griffith.html
marginalrevolution.com/page/54?%2Finspired%2Farticle%2F1443","chinacaribbean.substack.com/
podcasts.apple.com/us/podcast/id1537137302",,,
148,Michael Trinh,13,2021-03-08,marginalrevolution.com/marginalrevolution/2021/03/emergent-ventures-winners-cohort.html,"Michael Trinh of Toronto, synthetic biology and immunology, general career development.",Research,,"linkedin.com/in/michael-trinh-791530131/  
twitter.com/MichaelTrinh18  ","I am a scientist/bioengineer in training, working at the intersection of immunology and genome engineering.",-,michaeltrinh.ca/,,,
149,Austin Diamond,13,2021-03-08,marginalrevolution.com/marginalrevolution/2021/03/emergent-ventures-winners-cohort.html,"Austin Diamond, general career development.",Career development,,"twitter.com/AustinLDiamond 
linkedin.com/in/austindiamond/",-,-,twitter.com/austinldiamond?lang=en,,,
150,Trevor Chow,13,2021-03-08,marginalrevolution.com/marginalrevolution/2021/03/emergent-ventures-winners-cohort.html,"Trevor Chow, from Hong Kong now at Cambridge studying economics and monetary policy, here is his blog.",Writing (Online),,"twitter.com/tmychow  
linkedin.com/in/tmychow/  ","I'm Trevor - I'm an incoming second year undergraduate economist at Trinity College, University of Cambridge and a Jardine Scholar from Hong Kong. I am also an Emergent Ventures grantee as awarded by the Mercatus Center. Previously I was a King's Scholar at Eton College",-,"tmychow.com/
twitter.com/tmychow",,,
151,Lea Degen,13,2021-03-08,marginalrevolution.com/marginalrevolution/2021/03/emergent-ventures-winners-cohort.html,"Lea Degen, from southern Germany now in San Francisco, podcasting and general career support, more here.",Podcast,,"twitter.com/lealeata
linkedin.com/in/lea-degen-383564149/?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACPbDxMBcBYcxnLZhiAz4kieCERJix8fhHA ",,-,leadegen.com/,,,
152,Center for Indonesian Policy Studies,14,2021-05-21,marginalrevolution.com/marginalrevolution/2021/05/emergent-ventures-winners-14th-cohort.html,"Center for Indonesian Policy Studies, Jakarta, to hire a new director.",Non profit,,cips-indonesia.org/ ,"The Center for Indonesian Policy Studies (CIPS) is an independent, non-profit and non-partisan think tank that advocates for practical policy reforms informed by evidence-based policy research and analysis. Our policy perspectives are based on the belief that only civil, political and economic freedom allows Indonesians to achieve greater prosperity. ",-,cips-indonesia.org/,,,
153,Zach Mazlish,14,2021-05-21,marginalrevolution.com/marginalrevolution/2021/05/emergent-ventures-winners-14th-cohort.html,"Zach Mazlish, recent Brown graduate in philosophy, for travel and career development.",Travel,High school,linkedin.com/in/john-zachary-mazlish-558164166/,Student at Brown University,-,linkedin.com/in/john-zachary-mazlish-558164166/,,,
154,Upsolve.org,14,2021-05-21,marginalrevolution.com/marginalrevolution/2021/05/emergent-ventures-winners-14th-cohort.html,"Upsolve.org, headed by Rohan Pavuluri, to support their work on legal reform and deregulation of legal services for the poor.",Non profit,,upsolve.org/,"Upsolve is a nonprofit tool that helps you file bankruptcy for free. Think TurboTax for bankruptcy. Get free education, customer support, and community. Featured in Forbes 4x and funded by institutions like Harvard University so we'll never ask you for a credit card",-,upsolve.org/,,,
155,Madison Breshears,14,2021-05-21,marginalrevolution.com/marginalrevolution/2021/05/emergent-ventures-winners-14th-cohort.html,"Madison Breshears, GMU law student, to study the proper regulation of cryptocurrencies.",Research,,"twitter.com/m_a_d_i_s_o_n_b
linkedin.com/in/madison-breshears-24111a133/ ",Senza tema d’infamia ti rispondo. writer. J.D. candidate. FinReg/tech/ Law & Econ stuff (I’m as surprised as u are),-,twitter.com/m_a_d_i_s_o_n_b?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,,,
156,Quest for Justice,14,2021-05-21,marginalrevolution.com/marginalrevolution/2021/05/emergent-ventures-winners-14th-cohort.html,"Quest for Justice, to help Californians better navigate small claims court without a lawyer.",Non profit,,q4justice.com/,"Recognizing that most people can’t afford an attorney for help with a civil legal dispute, Quest for Justice empowers ordinary people to be their own hero by leveraging technology. Our end-to-end solution enables people who are representing themselves to manage all the information, documents, and steps involved in a civil legal case, while seamlessly connecting them with litigation support they need throughout the process.
",-,q4justice.com/,,,
157,Cameron Wiese,14,2021-05-21,marginalrevolution.com/marginalrevolution/2021/05/emergent-ventures-winners-14th-cohort.html,"Cameron Wiese, Progress Studies fellow, to create a new World’s Fair.",Non profit,,"linkedin.com/in/cameronwiese/ 
twitter.com/camwiese 
cameronwiese.com/ ",Optimist. Let's build the future.,-,linkedin.com/in/cameronwiese/,,,
158,Jimmy Alfonso Licon,14,2021-05-21,marginalrevolution.com/marginalrevolution/2021/05/emergent-ventures-winners-14th-cohort.html,"Jimmy Alfonso Licon, philosopher, visiting position at George Mason University, general career development.",Career development,,linkedin.com/in/jimmyalfonsolicon/,"For the 2021-2022 academic year, I'm an Emergent Ventures Fellow at the Mercatus Center at George Mason University.

I'm a former philosophy instructor (Towson University and the University of Maryland) with several years of teaching experience.",marginalrevolution.com/marginalrevolution/2021/05/philosopher-jimmy-alfonso-licon-interviews-me.html,sites.google.com/site/jimmyalicon,,,
159,Tony Morley,14,2021-05-21,marginalrevolution.com/marginalrevolution/2021/05/emergent-ventures-winners-14th-cohort.html,"Tony Morley, Progress Studies fellow, from Ngunnawal, Australia, to write the first optimistic children’s book on progress.",Writing (Book),,"twitter.com/tonymmorley
instagram.com/tonymmorley/ 
","Polymath, civilization, #HumanProgress & flourishing proponent. #ProgressStudies writer, researcher, thinker. Energy Project Manager. Asia-Pacific, Australia",-,twitter.com/tonymmorley?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,,,
160,Michelle Wang,14,2021-05-21,marginalrevolution.com/marginalrevolution/2021/05/emergent-ventures-winners-14th-cohort.html,"Michelle Wang, Sophomore at the University of Toronto, Canada, to study the causes and cures of depression, and general career development, and to help her intern at MIT.",Research,,"linkedin.com/in/mishwang/?originalSubdomain=ca 
twitter.com/mishcwang",HBSc Candidate @UofT │ Neuroscience Research Assistant UofT │ Emergent Ventures Grant Recipient,-,linkedin.com/in/mishwang/?originalSubdomain=ca,,,
161,Emily Oster,15,2021-06-13,marginalrevolution.com/marginalrevolution/2021/06/emergent-ventures-winners-15th-cohort.html,"Emily Oster, Brown University, in support of her COVID-19 School Response Dashboard and the related “Data Hub” proposal, to ease and improve school reopenings, project here.",Research,,"linkedin.com/in/emily-oster-184a49100/ 
twitter.com/ProfEmilyOster","Professor at Brown University
Economics, Brown University. New book - The Family Firm ","marginalrevolution.com/marginalrevolution/2008/05/hail-emily-oste.html
marginalrevolution.com/marginalrevolution/2013/08/the-new-emily-oster-book-2.html
marginalrevolution.com/marginalrevolution/2007/04/emily_oster_sen.html
marginalrevolution.com/marginalrevolution/2021/08/what-ive-been-reading-199.html
marginalrevolution.com/marginalrevolution/2020/05/thursday-assorted-links-255.html
marginalrevolution.com/marginalrevolution/2007/10/does-trade-spre.html
marginalrevolution.com/marginalrevolution/2007/02/assortative_mat.html
marginalrevolution.com/marginalrevolution/2005/02/where_are_asias.html
marginalrevolution.com/marginalrevolution/2021/08/monday-assorted-links-317.html
marginalrevolution.com/marginalrevolution/2006/11/women_we_love.html
marginalrevolution.com/marginalrevolution/2021/06/tuesday-assorted-links-320.html
marginalrevolution.com/marginalrevolution/2005/05/the_dubner_effe.html
marginalrevolution.com/marginalrevolution/2007/04/questions_about.html
marginalrevolution.com/marginalrevolution/2005/11/sex_on_the_marg.html","twitter.com/ProfEmilyOster?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor
covidschooldatahub.com/",,,
162,Kathleen Harward,15,2021-06-13,marginalrevolution.com/marginalrevolution/2021/06/emergent-ventures-winners-15th-cohort.html,"Kathleen Harward, to write and market a series of children’s books based on classical liberal values.",Writing (Book),,linkedin.com/in/kathleen-harward/ ,"Founder, Owner, Author at Brandy Pie Book Company",-,linkedin.com/in/kathleen-harward/,,,
163,William Zhang,15,2021-06-13,marginalrevolution.com/marginalrevolution/2021/06/emergent-ventures-winners-15th-cohort.html,"William Zhang, a high school junior on Long Island, NY, for general career development and to popularize machine learning and computation.",Career development,,"linkedin.com/in/william-zhang-69420/ 
twitter.com/WilliamHYZhang ","I’m currently a rising senior at Ward Melville High School in Setauket, NY. Outside of school I do CS. Besides professional work you can find me tinkering on random side projects, jamming on the sax/drums, or pretty much whatever perks my interest.",-,williamhyzhang.github.io/,,,
164,Kyle Schiller,15,2021-06-13,marginalrevolution.com/marginalrevolution/2021/06/emergent-ventures-winners-15th-cohort.html,"Kyle Schiller, to study possibilities for nuclear fusion.",Research,,linkedin.com/in/kylecschiller/,Data Visualization Consultant,-,kyleschiller.com/,,,
165,Aaryan Harshith,15,2021-06-13,marginalrevolution.com/marginalrevolution/2021/06/emergent-ventures-winners-15th-cohort.html,"Aaryan Harshith, 15 year old in Ontario, for general career development and “LightIR is the world’s first device that can instantly detect cancer cells during cancer surgery, preventing the disease from coming back and keeping patients healthier for longer.”",Career development,,"linkedin.com/in/aaryan-harshith-94a12116a/
twitter.com/aaryanharshith ","Building Medical Devices
Learning Molecular-Biology.
15 y.o.",-,aaryanh.substack.com/,,,
166,Anna Harvey,15,2021-06-13,marginalrevolution.com/marginalrevolution/2021/06/emergent-ventures-winners-15th-cohort.html,"Anna Harvey, New York University and Social Science Research Council, to bring evidence-based law and economics research to practitioners in police departments and legal systems.",Research,,twitter.com/annalilharvey ,"I am the 15th President and CEO of the Social Science Research Council. I am also Professor of Politics, Affiliated Professor of Data Science, Affiliated Professor of Law, and Director of the Public Safety Lab at New York University. I am Co-Director of the Criminal Justice Expert Panel.",-,wp.nyu.edu/annaharvey/,,,
167,EconomistsWritingEveryDay,15,2021-06-13,marginalrevolution.com/marginalrevolution/2021/06/emergent-ventures-winners-15th-cohort.html,"EconomistsWritingEveryDay blog, here is one recent good Michael Makowsky post.",Writing (Online),,economistwritingeveryday.com/blog/,Blog,-,"economistwritingeveryday.com/
economistwritingeveryday.com/2021/05/31/academic-publishing-how-i-think-we-got-here/",,,
168,Richard Hanania,15,2021-06-13,marginalrevolution.com/marginalrevolution/2021/06/emergent-ventures-winners-15th-cohort.html,"Richard Hanania, Center for the Study of Partisanship and Ideology, to pursue their new mission.",Non profit,,twitter.com/RichardHanania ,"President, 
CSPICenterOrg
. Fellow, Defense Priorities. 

Former 
ColumbiaSIPA
@Newsweek
 Contributor. ","marginalrevolution.com/marginalrevolution/2021/07/richard-hanania-on-safety-craziness.html
marginalrevolution.com/marginalrevolution/2021/04/friday-assorted-links-309.html
marginalrevolution.com/marginalrevolution/2019/07/prejudice-and-foreign-policy-views.html","cspicenter.org/blog/cspi/new-mission-at-cspi/
richardhanania.com/",,,
169,Jeremy Horpedahl,15,2021-06-13,marginalrevolution.com/marginalrevolution/2021/06/emergent-ventures-winners-15th-cohort.html,"Jeremy Horpedahl, for his work on social media to combat misinformation, including (but not only) Covid misinformation.",Research,,"twitter.com/jmhorp
linkedin.com/in/jeremy-horpedahl-0447a49/ ","Economist
Assistant Professor of Economics, University of Central Arkansas
Current: 
@ucabusiness
 @ucabears
 @acre_uca","marginalrevolution.com/marginalrevolution/2021/04/are-young-or-old-lives-worth-more.html
marginalrevolution.com/marginalrevolution/2021/04/gbd.html
marginalrevolution.com/marginalrevolution/2015/09/why-werent-left-economists-more-opposed-and-more-vocal-on-the-export-import-bank.html
marginalrevolution.com/marginalrevolution/2021/01/the-schwarzenegger-speech.html
marginalrevolution.com/marginalrevolution/2017/07/good-sentence-fragment.html
marginalrevolution.com/marginalrevolution/2020/10/new-issue-of-econ-journal-watch-9.html",uca.edu/efirm/facultystaff/jhorpedahl/,,,
170,Phoebe Yao,16,2021-09-10,https://marginalrevolution.com/marginalrevolution/2021/09/emergent-ventures-winners-sixteenth-cohort.html,"Phoebe Yao, founder and CEO of Pareto, “a human API delivering the business functions startups desperately need.” She was born in China, formerly of Stanford, and a former classical violist. (By my mistake I left her off of a previous cohort list, apologies!)",Startup,,"https://twitter.com/phoebexyao?lang=en
https://linkedin.com/in/phoebexyao 
https://phoebeyao.com/ ","CEO at 
@hellopareto
@Stanford
 building for the diamond age
@thielfellowship",-,https://phoebeyao.com/,,,
171,BeyondAging,16,2021-09-10,https://marginalrevolution.com/marginalrevolution/2021/09/emergent-ventures-winners-sixteenth-cohort.html,"BeyondAging, a new group to support longevity research.",Non profit,,"https://www.beyondaging.org/
https://www.beyondaging.com/#1 ",Beyond Aging is committed to bringing you the latest science-based products to promote a better and healthier life. ,-,"https://www.beyondaging.org/
https://www.beyondaging.com/#1 ",,,
172,Sam Enright,16,2021-09-10,https://marginalrevolution.com/marginalrevolution/2021/09/emergent-ventures-winners-sixteenth-cohort.html,"Sam Enright, for writing, blogging, and general career development, resume here. From Ireland, currently studying in Scotland.",Writing (Online),,"https://twitter.com/psalmenright
https://samenright.com/blog/ ","writing, blogging, and general career development",https://marginalrevolution.com/,https://samenright.com/projects/,,,
173,Zena Hitz,16,2021-09-10,https://marginalrevolution.com/marginalrevolution/2021/09/emergent-ventures-winners-sixteenth-cohort.html,"Zena Hitz, St. John’s College, to build The Catherine Project, to revitalize the study of the classics.",Non profit,,"https://twitter.com/zenahitz
https://zenahitz.net/about/ ","Tutor 
@stjohnscollege
. Author, LOST IN THOUGHT. 
Speaker 
@thomisticinst
 and http://tinyurl.com/9vr7pjv5 ",https://marginalrevolution.com/marginalrevolution/2020/05/what-ive-been-reading-164.html,"https://twitter.com/zenahitz/status/1290383391406383105
https://zenahitz.net/about/ ",,,
174,Gavin Leech,16,2021-09-10,https://marginalrevolution.com/marginalrevolution/2021/09/emergent-ventures-winners-sixteenth-cohort.html,"Gavin Leech, lives in Bristol, he is from Scotland, getting a Ph.D in AI. General career support, he is interested in: “Personal experimentation to ameliorate any chronic illness; reinforcement learning as microscope on Goodhart’s law; weaponised philosophy for donors; noncollege routes to impact.”",Career development,,"https://twitter.com/g_leech_
https://www.linkedin.com/in/gleech/ 
https://www.gleech.org/ ","Machine teaching; extreme pragmatism.

PhD 
@Bristol_AI_CDT",https://marginalrevolution.com/marginalrevolution/category/science,https://www.gleech.org/researches/,,,
175,Valmik Rao,16,2021-09-10,https://marginalrevolution.com/marginalrevolution/2021/09/emergent-ventures-winners-sixteenth-cohort.html,"Valmik Rao, 17 years old, Ontario, he is building a program to better manage defecation in Nigeria.",Non profit,,"https://valmikrao.com/
https://ca.linkedin.com/in/valmikrao ","Wants to solve the world's biggest problems (through exponential technologies) like degenerative diseases, affordable housing, vaccine development + much more",-,https://valmikrao.medium.com/,,,
176,Rabbi Zohar Atkins,16,2021-09-10,https://marginalrevolution.com/marginalrevolution/2021/09/emergent-ventures-winners-sixteenth-cohort.html,"Rabbi Zohar Atkins, New York City, to pursue a career as a public intellectual. Here is one substack, here is another.",Writing (Online),,https://twitter.com/ZoharAtkins,"Rabbi. Thinker. Poet. Torah Commentary @ http://Etzhasadeh.substack.com 
& Daily Question @
http://Whatiscalledthinking.substack.com
Founder, Etz Hasadeh.",-,"http://etzhasadeh.substack.com/
http://whatiscalledthinking.substack.com/",,,
177,Basil Halperin,16,2021-09-10,https://marginalrevolution.com/marginalrevolution/2021/09/emergent-ventures-winners-sixteenth-cohort.html,"Basil Halperin, graduate student in economics at MIT, for his writing and for general career development.",Career development,,https://twitter.com/basilhalperin?lang=en,"PhD student 
@MITEcon
. Formerly 
@Uber
, 
@AQRCapital
, 
@UChicago",https://marginalrevolution.com/marginalrevolution/2021/06/basil-helperin-on-sticky-wage-vs-sticky-price-models.html,https://www.basilhalperin.com/essays.html,,,
178,Gytis Daujotas,16,2021-09-10,https://marginalrevolution.com/marginalrevolution/2021/09/emergent-ventures-winners-sixteenth-cohort.html,"Gytis Daujotas, lives in Dublin, studying computer science at DCU, for a project to make the Great Books on the web easy to read, and for general career development. Here is his web site.",Career development,,"https://mobile.twitter.com/gytdau?lang=en-GB
https://www.linkedin.com/in/gytis-daujotas-987062112/",Software Engineer Intern at Stripe,-,https://gytis.co/,,,
179,Geoff Anders,16,2021-09-10,https://marginalrevolution.com/marginalrevolution/2021/09/emergent-ventures-winners-sixteenth-cohort.html,"Geoff Anders, Leverage Research, to support his work to find relevant bottlenecks in science and help overcome them. A Progress Studies fellow.",Research,,https://geoffanders.com/,I run two organizations and think and write about knowledge.,-,https://www.leverageresearch.org/,,,
180,Samantha Jordan,16,2021-09-10,https://marginalrevolution.com/marginalrevolution/2021/09/emergent-ventures-winners-sixteenth-cohort.html,"Samantha Jordan, NYU Stern School of Business, with Nathaniel Bechhofer, for a new company, “Our platform will accelerate the speed and quality of science by enabling scientists to easily manage their data and research pipelines, using best practices from software engineering.” Also a Progress Studies grant.",Startup,,https://www.linkedin.com/in/samcjordan/,New York Future Angel at New York Angels | Tech MBA Candidate at NYU Stern,-,https://www.worksinprogress.co/issue/the-speed-of-science/,,,
181,Nina Khera,16,2021-09-10,https://marginalrevolution.com/marginalrevolution/2021/09/emergent-ventures-winners-sixteenth-cohort.html,"Nina Khera, “I’m a teenage human longevity researcher who’s interested in preventing aging-related diseases, especially those related to brain aging. In the past, I’ve worked with companies like Alio on computation and web-dev-based projects. I’ve also worked with labs like the Gladyshev lab and the Adams lab on data analysis and machine learning-based projects.” Her current project is Biotein, about developing markers for aging, based in Ontario.",Career development,,https://ninakhera.com/,"I'm really passionate about lengthening human healthspan, which is the measure of how long we're healthy during our lifespan.

I realize that one of the biggest detriments to our healthspan is aging. So, I want to stop it, and by extension all the diseases that come with it (dementias, Parkinson's, cardiovascular diseases, etc).

I'm doing this through my work at Biotein, a startup I've been working on since April of 2019.",-,https://ninakhera.com/projects.html,,,
182,Lipton Matthews,16,2021-09-10,https://marginalrevolution.com/marginalrevolution/2021/09/emergent-ventures-winners-sixteenth-cohort.html,"Lipton Matthews, from Jamaica, here is his YouTube channel, for general career development.",Career development,,https://twitter.com/MatthewsLipton?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,We are in the business of educating curious minds about the big ideas of life. ,https://marginalrevolution.com/marginalrevolution/2021/09/my-dialogue-with-lipton-matthews.html,https://www.youtube.com/channel/UCcgvADZ4_HQgEJSoYHth7zw/featured,,,
183,Caleb Watney and Alec Stapp,17,2021-12-14,https://marginalrevolution.com/marginalrevolution/2021/12/emergent-ventures-winners-seventeenth-cohort.html,"Caleb Watney and Alec Stapp, to found a think tank related to progress studies.",Non profit,,,,,,,,
184,Joe Francis,17,2021-12-14,https://marginalrevolution.com/marginalrevolution/2021/12/emergent-ventures-winners-seventeenth-cohort.html,"Joe Francis, a farmer in Wales, to write a book on the economic and historical import of slavery in the American republic.",Writing (Book),,,,,,,,
185,Ananya Chadha,17,2021-12-14,https://marginalrevolution.com/marginalrevolution/2021/12/emergent-ventures-winners-seventeenth-cohort.html,"Ananya Chadha, freshman at Stanford, general career development, her interests include neurology and electrical engineering.",Career development,,,,,,,,
186,Eric Xia,17,2021-12-14,https://marginalrevolution.com/marginalrevolution/2021/12/emergent-ventures-winners-seventeenth-cohort.html,"Eric Xia, Brown University to develop word association software and for general career development. He is “making a metaphysical sport” and working on word.golf.",Career development,,,,,,,,
187,Isaak Freeman,17,2021-12-14,https://marginalrevolution.com/marginalrevolution/2021/12/emergent-ventures-winners-seventeenth-cohort.html,"Isaak Freeman, from southeast Austria, in a gap year after high school, general career development.",Career development,,,,,,,,
188,Davis Kedrosky,17,2021-12-14,https://marginalrevolution.com/marginalrevolution/2021/12/emergent-ventures-winners-seventeenth-cohort.html,"Davis Kedrosky, undergraduate at UC Berkeley, for economic history and general career development. Home page here, Substack here.",Career development,,,,,,,,
189,Katherine Dee and Emmet Penney,17,2021-12-14,https://marginalrevolution.com/marginalrevolution/2021/12/emergent-ventures-winners-seventeenth-cohort.html,"Katherine Dee and Emmet Penney, for general career development including collaboration. Among other topics, Katherine has worked on reimagining tech and Emmett has worked on promoting nuclear fusion.",Career development,,,,,,,,
190,Grant Gordon,17,2021-12-14,https://marginalrevolution.com/marginalrevolution/2021/12/emergent-ventures-winners-seventeenth-cohort.html,"Grant Gordon, to remedy hunger and nutrition problems in East Africa and also more broadly.",Non profit,,,,,,,,
191,Sofia Sigal-Passeck,17,2021-12-14,https://marginalrevolution.com/marginalrevolution/2021/12/emergent-ventures-winners-seventeenth-cohort.html,"Sofia Sigal-Passeck, Yale University, “Co-founder and Chief Executive Officer of Uniphage, a biotechnology start-up which aims to eradicate bacterial diseases using the combined power of bacteriophages and artificial intelligence.”",Startup,,,,,,,,
192,Brian Potter,17,2021-12-14,https://marginalrevolution.com/marginalrevolution/2021/12/emergent-ventures-winners-seventeenth-cohort.html,"Brian Potter, to improve productivity in construction, through both writing and practice. Here is his Substack.",Writing (Online),,,,,,,,
193,Daniel Liu,17,2021-12-14,https://marginalrevolution.com/marginalrevolution/2021/12/emergent-ventures-winners-seventeenth-cohort.html,"Daniel Liu, attending UCLA, to study computational biology and for general career development.",Career development,,,,,,,,
194,Molly Mielke,17,2021-12-14,https://marginalrevolution.com/marginalrevolution/2021/12/emergent-ventures-winners-seventeenth-cohort.html,"Molly Mielke, founder and CEO of Moth Minds, a new company to find talent and revolutionize philanthropy: “Moth Minds is building the foundation that enables anyone to start their own grants program based on finding work that gets them excited about the future.”",Startup,,,,,,,,
195,Zvi Mowshowitz,18,2022-03-11,https://marginalrevolution.com/marginalrevolution/2022/03/emergent-ventures-winners-eighteenth-cohort.html,"Zvi Mowshowitz, TheZvi, New York City, to develop his career as idea generator and public intellectual.",Writing (Online),,,,,,,,
196,Nadia Eghbal,18,2022-03-11,https://marginalrevolution.com/marginalrevolution/2022/03/emergent-ventures-winners-eighteenth-cohort.html,"Nadia Eghbal, Miami, to study and write on philanthropy for tech and crypto wealth.",Writing (Book),,,,,,,,
197,Henry Oliver,18,2022-03-11,https://marginalrevolution.com/marginalrevolution/2022/03/emergent-ventures-winners-eighteenth-cohort.html,"Henry Oliver, London, to write a book on talent and late bloomers. Substack here.",Writing (Book),,,,,,,,
198,Geffen Avraham,18,2022-03-11,https://marginalrevolution.com/marginalrevolution/2022/03/emergent-ventures-winners-eighteenth-cohort.html,"Geffen Avrahan, Bay Area, founder at Skyline Celestial, an earlier winner, omitted from an early list by mistake, apologies Geffen!",Startup,,,,,,,,
199,Subaita Rahman,18,2022-03-11,https://marginalrevolution.com/marginalrevolution/2022/03/emergent-ventures-winners-eighteenth-cohort.html,"Subaita Rahman of Scarborough, Ontario, to enable a one-year visiting student appointment at Church Labs at Harvard University.",Career development,,,,,,,,
200,Gareth Black,18,2022-03-11,https://marginalrevolution.com/marginalrevolution/2022/03/emergent-ventures-winners-eighteenth-cohort.html,"Gareth Black, Dublin, to start YIMBY Dublin.",Non profit,,,,,,,,
201,Pradyumna Prasad,18,2022-03-11,https://marginalrevolution.com/marginalrevolution/2022/03/emergent-ventures-winners-eighteenth-cohort.html,"Pradyumna Shyama Prasad, blog and podcast, Singapore. Here is his substack newsletter, here is his podcast about both economics and history.",Writing (Online),,,,,,,,
202,Ulkar Aghayeva,18,2022-03-11,https://marginalrevolution.com/marginalrevolution/2022/03/emergent-ventures-winners-eighteenth-cohort.html,"Ulkar Aghayeva, New York City, Azerbaijani music and bioscience.",Career development,,,,,,,,
203,Steven Lu,18,2022-03-11,https://marginalrevolution.com/marginalrevolution/2022/03/emergent-ventures-winners-eighteenth-cohort.html,"Steven Lu, Seattle, to create GenesisFund, a new project for nurturing talent, and general career development.",Career development,,,,,,,,
204,Ashley Lin,18,2022-03-11,https://marginalrevolution.com/marginalrevolution/2022/03/emergent-ventures-winners-eighteenth-cohort.html,"Ashley Lin, University of Pennsylvania gap year, Center for Effective Altruism, for general career development and to learn talent search in China, India, Russia.",Career development,,,,,,,,
205,James Lin,18,2022-03-11,https://marginalrevolution.com/marginalrevolution/2022/03/emergent-ventures-winners-eighteenth-cohort.html,"James Lin, McMaster University gap year, from Toronto area, general career development and to support his interests in effective altruism and also biosecurity.",Career development,,,,,,,,
206,Santiago Tobar Potes,18,2022-03-11,https://marginalrevolution.com/marginalrevolution/2022/03/emergent-ventures-winners-eighteenth-cohort.html,"Santiago Tobar Potes, Oxford, from Colombia and DACA in the United States, general career development, interest in public service, law, and foreign policy.",Career development,,,,,,,,
207,Martin Borch Jensen,18,2022-03-11,https://marginalrevolution.com/marginalrevolution/2022/03/emergent-ventures-winners-eighteenth-cohort.html,"Martin Borch Jensen of Longevity Impetus Grants (a kind of Fast Grants for longevity research), Bay Area and from Denmark, for a new project Talent Bridge, to help talented foreigners reach the US and contribute to longevity R&D.",Non profit,,,,,,,,
